date_creation,infrared_value,visible_value
2024-06-18 12:32:21,1.0,382.0
2024-06-18 12:32:22,1.0,382.0
2024-06-18 12:36:01,3.0,621.0
2024-06-18 12:36:02,3.0,621.0
2024-06-18 12:36:03,3.0,621.0
2024-06-18 12:36:04,3.0,621.0
2024-06-18 12:36:05,3.0,621.0
2024-06-18 12:36:06,3.0,382.0
2024-06-18 12:36:07,4.0,382.0
2024-06-18 12:36:08,4.0,382.0
2024-06-18 12:36:09,4.0,382.0
2024-06-18 12:36:10,4.0,382.0
2024-06-18 12:37:15,63.0,0.0
2024-06-18 12:37:16,63.0,0.0
2024-06-18 12:37:17,63.0,0.0
2024-06-18 12:37:18,63.0,0.0
2024-06-18 12:37:19,63.0,0.0
2024-06-18 12:37:20,63.0,0.0
2024-06-18 12:37:21,63.0,0.0
2024-06-18 12:37:22,63.0,0.0
2024-06-18 12:37:23,63.0,0.0
2024-06-18 12:37:24,63.0,0.0
2024-06-18 12:37:25,63.0,0.0
2024-06-18 12:37:26,63.0,0.0
2024-06-18 12:37:27,33.0,621.0
2024-06-18 12:37:28,33.0,621.0
2024-06-18 12:37:29,33.0,621.0
2024-06-18 12:37:30,33.0,621.0
2024-06-18 12:37:31,33.0,0.0
2024-06-18 12:37:32,0.0,0.0
2024-06-18 12:37:33,0.0,0.0
2024-06-18 12:37:34,0.0,0.0
2024-06-18 12:37:35,0.0,0.0
2024-06-18 12:37:36,0.0,0.0
2024-06-18 12:37:37,0.0,0.0
2024-06-18 12:37:38,0.0,0.0
2024-06-18 12:37:39,621.0,0.0
2024-06-18 12:37:40,621.0,0.0
2024-06-18 12:53:33,13.0,246.0
2024-06-18 12:53:34,13.0,246.0
2024-06-18 12:53:35,13.0,246.0
2024-06-18 12:53:36,13.0,252.0
2024-06-18 12:53:37,13.0,252.0
2024-06-18 12:53:38,13.0,252.0
2024-06-18 12:53:39,13.0,252.0
2024-06-18 12:53:40,13.0,252.0
2024-06-18 12:53:41,13.0,252.0
2024-06-18 12:53:42,13.0,238.0
2024-06-18 12:53:43,5.0,238.0
2024-06-18 12:53:44,5.0,238.0
2024-06-18 12:53:45,5.0,238.0
2024-06-18 12:53:46,5.0,238.0
2024-06-18 12:53:47,5.0,238.0
2024-06-18 12:53:48,5.0,13.0
2024-06-18 12:53:49,0.0,13.0
2024-06-18 12:53:50,0.0,13.0
2024-06-18 12:53:51,0.0,13.0
2024-06-18 12:53:52,0.0,13.0
2024-06-18 12:53:53,0.0,13.0
2024-06-18 12:53:54,0.0,244.0
2024-06-18 12:53:55,0.0,244.0
2024-06-18 12:53:56,0.0,244.0
2024-06-18 12:53:57,0.0,244.0
2024-06-18 12:53:58,0.0,244.0
2024-06-18 12:53:59,0.0,244.0
2024-06-18 12:54:00,0.0,15.0
2024-06-18 12:54:01,252.0,15.0
2024-06-18 12:54:02,252.0,15.0
2024-06-18 12:54:03,252.0,15.0
2024-06-18 12:54:04,252.0,15.0
2024-06-18 12:54:05,252.0,15.0
2024-06-18 12:54:06,252.0,13.0
2024-06-18 12:54:07,244.0,13.0
2024-06-18 12:54:08,244.0,13.0
2024-06-18 12:54:09,244.0,13.0
2024-06-18 13:18:39,693.0,678.0
2024-06-18 13:18:40,693.0,678.0
2024-06-18 13:18:41,693.0,681.0
2024-06-18 13:18:42,687.0,681.0
2024-06-18 13:18:43,687.0,681.0
2024-06-18 13:18:44,687.0,681.0
2024-06-18 13:18:45,687.0,681.0
2024-06-18 13:18:46,687.0,681.0
2024-06-18 13:18:47,687.0,666.0
2024-06-18 13:18:48,687.0,666.0
2024-06-18 13:18:49,687.0,666.0
2024-06-18 13:18:50,687.0,666.0
2024-06-18 13:18:51,687.0,666.0
2024-06-18 13:18:52,687.0,666.0
2024-06-18 13:18:53,687.0,678.0
2024-06-18 13:18:54,663.0,678.0
2024-06-18 13:18:55,663.0,678.0
2024-06-18 13:18:56,663.0,678.0
2024-06-18 13:18:57,663.0,678.0
2024-06-18 13:18:58,663.0,678.0
2024-06-18 13:18:59,663.0,681.0
2024-06-18 13:19:00,663.0,681.0
2024-06-18 13:19:01,663.0,681.0
2024-06-18 13:19:02,663.0,681.0
2024-06-18 13:19:03,663.0,681.0
2024-06-18 13:19:04,663.0,681.0
2024-06-18 13:19:05,663.0,642.0
2024-06-18 13:19:06,663.0,642.0
2024-06-18 13:19:07,663.0,642.0
2024-06-18 13:19:08,663.0,642.0
